event_name,company,date,end_date,location,city,state,topic,registration_deadline,suitable_for_students,description,event_type,is_free,virtual_option
AWS Summit Bangalore 2025,Amazon Web Services (AWS),2025-05-07,2025-05-08,"KTPO Exhibition Center, Whitefield, Bangalore",Bangalore,Karnataka,"Cloud Computing, Generative AI, Machine Learning",2025-05-01,True,Free hybrid conference for innovative builders and leaders,Conference,True,True
AWS Summit India Online,Amazon Web Services (AWS),2025-06-26,2025-06-26,Virtual/Online,Online,Virtual,"Cloud Computing, Generative AI, Amazon Q, Amazon Bedrock",2025-06-20,True,India's premier virtual cloud computing event with 40+ sessions,Conference,True,True
Google I/O Extended Bangalore,Google,2025-05-20,2025-05-20,Bangalore,Bangalore,Karnataka,"Android, Web Development, AI, Google Technologies",2025-05-15,True,Experience the magic of Google I/O Connect in Bangalore,Community Event,True,False
Google Cloud Community Days 2025,Google,2025-06-28,2025-06-28,New Delhi,New Delhi,Delhi,"Google Cloud, AI/ML, Data, Infrastructure, App Development",2025-06-25,True,"Cloud enthusiasts, developers, and industry experts gathering",Community Event,True,False
Global Azure 2025 Chennai,Microsoft,2025-05-10,2025-05-10,Chennai,Chennai,Tamil Nadu,"Microsoft Azure, AI, Data, DevOps, Security",2025-05-05,True,Full-day conference on Microsoft Stack with MVPs and experts,Conference,True,False
Microsoft Fabric Introduction,Microsoft,2025-05-09,2025-05-09,Virtual Event,Online,Virtual,"Microsoft Fabric, Data Integration, Analytics",2025-05-05,True,Hands-on learning experience for Microsoft Fabric,Workshop,True,True
ETCIO Annual Conclave 2025,Economic Times,2025-05-29,2025-06-01,"Grand Hyatt, Goa",Goa,Goa,"Enterprise Technology, AI, Digital Transformation",2025-05-20,False,4-day residential summit for CIOs and tech leaders,Conference,False,False
HackIndia 2025,SingularityNET,2025-09-01,2025-09-30,15 cities across India (Delhi for finals),Multiple Cities,Multiple States,"Web3, AI, Blockchain, Decentralized AI",2025-08-15,True,India's biggest Web3 & AI hackathon with $150k prize pool,Hackathon,True,False
Inspire India 2025,Multiple Sponsors,2025-12-05,2025-12-07,"Pragati Maidan, New Delhi",New Delhi,Delhi,"Technology Innovation, Startups, AI",2025-11-30,True,"World's largest tech event with 1,50,000 attendees expected",Conference,False,False
Flipkart Glam Up Fest 2025,Flipkart,2025-06-06,2025-06-07,"NESCO, Goregaon, Mumbai",Mumbai,Maharashtra,"E-commerce Technology, AI-driven solutions, Virtual Try-On",2025-06-01,True,Two-day tech and beauty celebration with 100+ brands,Exhibition,True,False
Paytm Developer Conference 2025,Paytm,2025-07-10,2025-07-10,Noida,Noida,Uttar Pradesh,"Fintech, Digital Payments, Mini Apps",2025-07-05,True,Developer conference focused on fintech innovations,Conference,True,True
Zomato Tech Meetup,Zomato,2025-08-15,2025-08-15,Gurgaon,Gurgaon,Haryana,"Food Tech, Logistics, Mobile Development",2025-08-10,True,Tech meetup on food delivery and logistics technology,Meetup,True,False
Swiggy Engineering Conference,Swiggy,2025-09-20,2025-09-20,Bangalore,Bangalore,Karnataka,"Delivery Technology, Scalability, Mobile Apps",2025-09-15,True,Engineering conference on delivery platform technologies,Conference,True,False
NVIDIA Developer Day India,NVIDIA,2025-07-25,2025-07-25,Bangalore,Bangalore,Karnataka,"GPU Computing, AI, Machine Learning, Deep Learning",2025-07-20,True,NVIDIA technologies for AI and high-performance computing,Conference,True,False
Intel Innovation Summit India,Intel,2025-08-05,2025-08-05,New Delhi,New Delhi,Delhi,"Processors, Edge Computing, IoT, 5G",2025-07-30,True,Intel's latest innovations in computing technology,Conference,True,False
Oracle Developer Meetup,Oracle,2025-06-15,2025-06-15,Hyderabad,Hyderabad,Telangana,"Database Technologies, Cloud, Enterprise Applications",2025-06-10,True,Oracle database and cloud technologies meetup,Meetup,True,False
Cisco Networking Academy Conference,Cisco Systems,2025-10-15,2025-10-15,Mumbai,Mumbai,Maharashtra,"Networking, Cybersecurity, IoT",2025-10-10,True,Networking and cybersecurity conference for students,Conference,True,False
Adobe Creative Conference India,Adobe,2025-11-10,2025-11-10,Bangalore,Bangalore,Karnataka,"Creative Technologies, Design, Digital Marketing",2025-11-05,True,Adobe's creative and design technologies showcase,Conference,True,False
Salesforce Trailhead Event,Salesforce,2025-08-30,2025-08-30,Pune,Pune,Maharashtra,"CRM, Cloud Computing, AI in Sales",2025-08-25,True,Salesforce platform and CRM technologies,Workshop,True,False
5G Innovation Hackathon 2025,Department of Telecommunications,2025-07-01,2025-08-31,100 institutes across India,Multiple Cities,Multiple States,"5G Technology, IoT, AI-driven networks, Smart Healthcare",2025-06-15,True,"Students, startups, and professionals developing 5G solutions",Hackathon,True,False
TCS TechBytes Conference,Tata Consultancy Services (TCS),2025-09-10,2025-09-10,Chennai,Chennai,Tamil Nadu,"Enterprise Technology, Digital Transformation, AI",2025-09-05,True,TCS technology innovations and career opportunities,Conference,True,False
Infosys Developer Summit,Infosys,2025-10-20,2025-10-20,Bangalore,Bangalore,Karnataka,"Software Development, AI, Cloud, Digital Services",2025-10-15,True,Infosys technology platforms and innovation showcase,Conference,True,False
Wipro WILP Tech Fair,Wipro,2025-11-25,2025-11-25,Hyderabad,Hyderabad,Telangana,"Enterprise Solutions, Cloud, AI, Automation",2025-11-20,True,Wipro technologies and career fair for students,Career Fair,True,False
Pragyan 2025 - NIT Trichy,NIT Tiruchirappalli,2025-02-15,2025-02-18,"NIT Trichy, Tamil Nadu",Tiruchirappalli,Tamil Nadu,"Engineering, Technology, Innovation",2025-02-10,True,One of India's largest technical festivals,Tech Fest,True,False
Technozion 2025 - NIT Warangal,NIT Warangal,2025-03-10,2025-03-13,"NIT Warangal, Telangana",Warangal,Telangana,"Technology, Innovation, Engineering",2025-03-05,True,Annual technical festival of NIT Warangal,Tech Fest,True,False
